correct_sentence,incorrect_sentence
نیز_ایسے_موقع_پر_وحی_الہی_کے_ذریعے_ایسے_الفاظ_کے_استعمال_کی_ممانعت_کردینے_سے_یہ_بات_بھی_ظاہر_ہو_جاتی_ہے_کہ_اللہ_تعالی_ہر_وقت_اپنے_نبی_اور_تحریک_اسلامی_کے_نگہبان_تھے_اور_ان_کے_مکار_دشمنوں_کی_سازشوں_اور_مکاریوں_کا_دفیعہ_فرمادیتے_تھے,نیز_ایسے_موقع_پر_وحی_الہی_کے_ذریعے_ایسے_الفاظ_کے_استعمال_کی_ممانعت_کردینے_سے_یہ_بات_بھی_ظاہر_ہوجاتی_ہے_کہ_اللہ_تعالی_ہر_وقت_اپنے_نبی_اور_تحریک_اسلامی_کے_نگہبان_تھے_اور_ان_کے_مکار_دشمنوں_کی_سازشوں_اور_مکاریوں_کا_دفیعہ_فرمادیتے_تھے
علماء_کی_دوسری_جماعت_نے_یہ_کہا_کہ_فرشتوں_نے_قتال_بالکل_نہیں_کیا_وہ_صرف_مسلمانوں_کے_لشکر_کی_تعداد_بڑھانے_کے_لیے_آئے_تھے_اور_مسلمانوں_کو_ثابت_قدم_رکھنے_کے_لیے_ورنہ_پوری_دنیا_کو_ہلاک_کرنے_کے_لیے_صرف_ایک_فرشتہ_ہی_کافی_ہے_حضرت_جبرائیل_علیہ_السلام_نے_اپنے_بازو_کے_ایک_پر_سے_قوم_لوط_کے_تمام_شہروں_کو_تباہ_اور_برباد_کر_دیا_تھا_اور_قوم_ثمود_کے_شہروں_کو_اور_حضرت_صالح_علیہ_السلام_کی_قوم_کو_صرف_ایک_چیخ_سے_ہلاک_کر_دیا_تھا,علماء_کی_دوسری_جماعت_نے_یہ_کہا_کہ_فرشتوں_نے_قتال_بالکل_نہیں_کیا_وہ_صرف_مسلمانوں_کے_لشکر_کی_تعداد_بڑھانے_کے_لیے_آئے_تھے_اور_مسلمانوں_کو_ثابت_قدم_رکھنے_کے_لیے_ورنہ_پوری_دنیا_کو_ہلاک_کرنے_کے_لیے_صرف_ایک_فرشتہ_ہی_کافی_ہے_حضرت_جبرائیل_علیہ_السلام_نے_اپنے_بازو_کے_ایک_پر_سے_قوم_لوط_کے_تمام_شہروں_کو_تباہ_اور_برباد_کردیا_تھا_اور_قوم_ثمود_کے_شہروں_کو_اور_حضرت_صالح_علیہ_السلام_کی_قوم_کو_صرف_ایک_چیخ_سے_ہلاک_کردیا_تھا
اس_طرح_حضرت_زینب_رض_کے_نکاح_کو_بھی_جائز_فرما_دیا_اور_آئنہد_کے_لئے_ایک_ضابطہ_بھی_مقرر_کر_دیا,اس_طرح_حضرت_زینب_رض_کے_نکاح_کو_بھی_جائز_فرما_دیا_اور_آئنہد_کے_لئے_ایک_ضابطہ_بھی_مقرر_کردیا
فیروز_دیلمی_اور_قیس_بن_مکثوح_نے_اس_کو_قتل_کر_دیا_اور_رسول_اللہ_صلی_اللہ_علیہ_وآلہ_وسلم_کے_پاس_اس_کا_سر_لے_کر_آئے_اور_بعض_مورخین_نے_کہا_ہے_کہ_یہ_واقعہ_حضرت_ابوبکر_صدیق_رض_کی_خلافت_میں_ہوا,فیروز_دیلمی_اور_قیس_بن_مکثوح_نے_اس_کو_قتل_کردیا_اور_رسول_اللہ_صلی_اللہ_علیہ_وآلہ_وسلم_کے_پاس_اس_کا_سر_لے_کر_آئے_اور_بعض_مورخین_نے_کہا_ہے_کہ_یہ_واقعہ_حضرت_ابوبکر_صدیق_رض_کی_خلافت_میں_ہوا
وہ_حقیقت_جس_کی_یاد_دہانی_اللہ_تعالی_یہاں_کرا_رہے_ہیں_اور_جس_کا_احسان_مومنین_کو_یاد_دلایا_جا_رہا_ہے_کہ_اللہ_تعالی_کا_یہ_عظیم_کرم_ہے_کہ_اس_نے_تمہیں_اس_نعمت_کبری_سے_سرفراز_کیا_واذکروہ_کما_ہداکم_وإن_کنتم_من_قبلہ_لمن_الضالین__اور_اسے_اس_طرح_یاد_کرو_جس_کی_ہدایت_اس_نے_تمہیں_کی_ہے,وہ_حقیقت_جس_کی_یاد_دہانی_اللہ_تعالی_یہاں_کرا_رہے_ہیں_اور_جس_کا_احسان_مومنین_کو_یاد_دلایا_جارہا_ہے_کہ_اللہ_تعالی_کا_یہ_عظیم_کرم_ہے_کہ_اس_نے_تمہیں_اس_نعمت_کبری_سے_سرفراز_کیا_واذکروہ_کما_ہداکم_وإن_کنتم_من_قبلہ_لمن_الضالین__اور_اسے_اس_طرح_یاد_کرو_جس_کی_ہدایت_اس_نے_تمہیں_کی_ہے
تم_انہیں_اپنے_اوپر_حرام_کر_کے_تنگی_نہ_کرو_اور_یہ_مطلب_بھی_ہو_سکتا_ہے_کہ_حلال_بقدر_کفایت_لے_لو_اور_اس_حد_سے_آگے_نہ_نکل_جاؤ,تم_انہیں_اپنے_اوپر_حرام_کر_کے_تنگی_نہ_کرو_اور_یہ_مطلب_بھی_ہوسکتا_ہے_کہ_حلال_بقدر_کفایت_لے_لو_اور_اس_حد_سے_آگے_نہ_نکل_جاؤ
rn_امام_نسائی_اور_امام_ابن_حبان_نے_حضرت_نوفل_بن_معاویہ_سے_روایت_کیا_ہے_کہ_رسول_اللہ_صلی_اللہ_علیہ_وآلہ_وسلم_نے_فرمایا_جس_شخص_کی_ایک_نماز_فوت_ہو_گئی_گویا_اس_کے_اہل_اور_مال_ہلاک_ہوگئے,rn_امام_نسائی_اور_امام_ابن_حبان_نے_حضرت_نوفل_بن_معاویہ_سے_روایت_کیا_ہے_کہ_رسول_اللہ_صلی_اللہ_علیہ_وآلہ_وسلم_نے_فرمایا_جس_شخص_کی_ایک_نماز_فوت_ہوگئی_گویا_اس_کے_اہل_اور_مال_ہلاک_ہوگئے
n_پانچویں_وجہ__n_یہ_ہے_کہ_اس_کی_متعدد_آیات_میں_لوگوں_کے_دل_کی_چھپی_ہوئی_باتوں_کی_اطلاع_دی_گئی_اور_پھر_ان_کے_اقرار_سے_ثابت_ہو_گیا_کہ_وہ_بات_صحیح_اور_سچی_تھی,n_پانچویں_وجہ__n_یہ_ہے_کہ_اس_کی_متعدد_آیات_میں_لوگوں_کے_دل_کی_چھپی_ہوئی_باتوں_کی_اطلاع_دی_گئی_اور_پھر_ان_کے_اقرار_سے_ثابت_ہوگیا_کہ_وہ_بات_صحیح_اور_سچی_تھی
کہ_اس_وقت_ان_میں_سے_جو_زیادہ_سے_زیادہ_محتاط_اندازہ_لگانے_والا_ہو_گا_وہ_کہے_گا_کہ_نہیں_تمہاری_دنیا_کی_زندگی_بس_ایک_دن_کی_تھی,کہ_اس_وقت_ان_میں_سے_جو_زیادہ_سے_زیادہ_محتاط_اندازہ_لگانے_والا_ہوگا_وہ_کہے_گا_کہ_نہیں_تمہاری_دنیا_کی_زندگی_بس_ایک_دن_کی_تھی
الم_ترا_الی_الذین_قیل_لھم_کو_فوا_ایدیکم_الخ_مکہ_میں_ہجرت_کرنے_سے_پہلے_کافر_مسلمانوں_کو_بہت_ستایا_کرتے_تھے_مسلمان_آپ_کی_خدمت_میں_حاضر_ہو_کر_شکایت_کرتے_اور_رخصت_مانگتے_کہ_ہم_کفار_سے_مقاتلہ_کریں_اور_ان_سے_ظلم_کا_بدلہ_لیں_آپ_مسلمانوں_کو_لڑائی_سے_روکتے_تھے_کہ_مجھ_کو_مقاتلہ_کا_حکم_نہیں_بلکہ_صبر_اور_در_گزر_کرنے_کا_حکم_ہے_اور_فرماتے_کہ_نماز_اور_زکوۃ_کا_جو_حکم_تم_کو_ہو_چکا_ہے,الم_ترا_الی_الذین_قیل_لھم_کو_فوا_ایدیکم_الخ_مکہ_میں_ہجرت_کرنے_سے_پہلے_کافر_مسلمانوں_کو_بہت_ستایا_کرتے_تھے_مسلمان_آپ_کی_خدمت_میں_حاضر_ہو_کر_شکایت_کرتے_اور_رخصت_مانگتے_کہ_ہم_کفار_سے_مقاتلہ_کریں_اور_ان_سے_ظلم_کا_بدلہ_لیں_آپ_مسلمانوں_کو_لڑائی_سے_روکتے_تھے_کہ_مجھ_کو_مقاتلہ_کا_حکم_نہیں_بلکہ_صبر_اور_در_گزر_کرنے_کا_حکم_ہے_اور_فرماتے_کہ_نماز_اور_زکوۃ_کا_جو_حکم_تم_کو_ہوچکا_ہے
